Date,Open,High,Low,Close,Volume,Adj Close
6/20/2012,135.710007,136.100006,134.270004,135.479996,206451800,127.457256
6/19/2012,135.080002,136.25,134.369995,135.699997,137382600,127.664229
6/18/2012,133.580002,134.729996,133.279999,134.399994,131360900,126.441209
6/15/2012,133.380005,134.259995,133.100006,134.139999,169444500,126.19661
6/14/2012,132.339996,134,131.979996,133.470001,230615500,124.919026
6/13/2012,132.529999,133.360001,131.619995,132.070007,172223900,123.608725
6/12/2012,131.789993,133.009995,131.160004,132.919998,181931800,124.404259
6/11/2012,134.169998,134.25,131.279999,131.410004,169756100,122.991005
6/8/2012,131.710007,133.130005,131.289993,133.100006,143915400,124.572735
6/7/2012,133.470001,133.529999,131.779999,132.050003,184772700,123.590002
6/6/2012,129.970001,132.029999,129.929993,131.970001,184202800,123.515126
6/5/2012,127.849998,129.259995,127.779999,129.070007,164149400,120.800925
6/4/2012,128.389999,128.740005,127.139999,128.100006,202545800,119.893068
6/1/2012,129.410004,131.5,128.160004,128.160004,253240900,119.949222
5/31/2012,131.710007,132.449997,130.339996,131.470001,196186000,123.047159
5/30/2012,132.559998,133.690002,131.490005,131.759995,162370400,123.318573
5/29/2012,133.160004,133.929993,131.169998,133.699997,152883500,125.134286
5/25/2012,132.479996,132.850006,131.779999,132.100006,135465600,123.636801
5/24/2012,132.630005,132.839996,131.419998,132.529999,167357600,124.039246
5/23/2012,131.25,132.460007,129.990005,132.270004,204958400,123.795908
5/22/2012,132.309998,133.229996,131.339996,132.199997,197531200,123.730386
5/21/2012,130.160004,132.020004,129.949997,131.970001,177861100,123.515126
5/18/2012,131.369995,131.600006,129.550003,129.740005,319615900,121.427998
5/17/2012,132.860001,133.020004,130.789993,130.860001,247992900,122.476239
5/16/2012,133.940002,134.550003,132.800003,132.830002,207265500,124.320029
5/15/2012,134.020004,134.809998,133.130005,133.339996,207629300,124.79735
5/14/2012,134.309998,135.610001,133.910004,134.110001,163910000,125.518022
5/11/2012,135.169998,136.869995,135.110001,135.610001,153032400,126.921922
5/10/2012,136.679993,136.850006,135.710007,136.020004,150600000,127.305658
5/9/2012,135.100006,136.610001,134.490005,135.740005,220752500,127.043598
5/8/2012,136.279999,136.770004,134.919998,136.550003,213377700,127.801702
5/7/2012,136.509995,137.559998,136.460007,137.100006,127765900,128.316468
5/4/2012,138.520004,139.300003,136.919998,137,193927300,128.222869
5/3/2012,140.339996,140.449997,138.990005,139.25,143759700,130.328719
5/2/2012,139.919998,140.460007,139.460007,140.320007,121081000,131.330175
5/1/2012,139.789993,141.660004,139.630005,140.740005,138832200,131.723265
4/30/2012,140.110001,140.210007,139.490005,139.869995,115092200,130.908993
4/27/2012,140.580002,140.789993,139.800003,140.389999,130725000,131.395683
4/26/2012,138.889999,140.320007,138.809998,140.160004,136291600,131.180422
4/25/2012,138.649994,139.25,138.529999,139.190002,150252200,130.272565
4/24/2012,136.910004,137.660004,136.800003,137.309998,137484200,128.513006
4/23/2012,136.539993,136.910004,135.940002,136.789993,171844900,128.026317
4/20/2012,138.330002,138.830002,137.869995,137.949997,143199600,129.112003
4/19/2012,138.630005,139.149994,137.070007,137.720001,198666700,128.896742
4/18/2012,138.460007,139.080002,138.380005,138.610001,123884200,129.729722
4/17/2012,137.839996,139.360001,137.699997,139.080002,147877600,130.169612
4/16/2012,137.839996,138.039993,136.580002,137.050003,147825300,128.269669
4/13/2012,138.470001,138.820007,137.009995,137.139999,169246700,128.353899
4/12/2012,137.130005,138.899994,137.029999,138.789993,154321500,129.898184
4/11/2012,137.289993,137.539993,136.75,137,154133000,128.222869
4/10/2012,137.949997,138.339996,135.759995,135.899994,235360300,127.193337
4/9/2012,138.029999,139.839996,137.839996,138.220001,127555900,129.364709
4/5/2012,139.380005,140.199997,139.259995,139.789993,137439400,130.834117
4/4/2012,140.220001,140.339996,139.339996,139.860001,146896000,130.899639
4/3/2012,141.639999,141.880005,140.429993,141.259995,155806700,132.20994
4/2/2012,140.639999,142.210007,140.360001,141.839996,151741100,132.752783
3/30/2012,140.919998,141.050003,140.050003,140.809998,135486800,131.788773
3/29/2012,139.639999,140.490005,139.089996,140.229996,164963700,131.24593
3/28/2012,141.100006,141.320007,139.639999,140.470001,148562100,131.470559
3/27/2012,141.740005,141.830002,141.080002,141.169998,119868500,132.12571
3/26/2012,140.649994,141.610001,140.600006,141.610001,120164000,132.537522
3/23/2012,139.320007,139.809998,138.550003,139.649994,120521000,130.703087
3/22/2012,139.179993,139.550003,138.740005,139.199997,135216700,130.28192
3/21/2012,140.520004,140.649994,139.919998,140.210007,122388400,131.227221
3/20/2012,140.050003,140.610001,139.639999,140.440002,121729700,131.442482
3/19/2012,140.210007,141.279999,140.110001,140.850006,125291100,131.826218
3/16/2012,140.360001,140.479996,140,140.300003,152893500,131.311452
3/15/2012,140.119995,140.779999,139.759995,140.720001,165118500,131.129885
3/14/2012,140.100006,140.449997,139.479996,139.910004,145163600,130.375089
3/13/2012,138.320007,140.130005,138.089996,140.059998,184090500,130.514861
3/12/2012,137.550003,137.759995,137.089996,137.580002,104003500,128.203878
3/9/2012,137.300003,137.929993,137.130005,137.570007,122836800,128.194564
3/8/2012,136.520004,137.320007,136.240005,137.039993,116968900,127.700671
3/7/2012,135.059998,135.910004,134.929993,135.690002,143692200,126.442682
3/6/2012,135.350006,135.429993,134.360001,134.75,202129900,125.566741
3/5/2012,137.100006,137.199997,136.279999,136.75,140765000,127.430441
3/2/2012,137.639999,137.820007,137,137.309998,120638300,127.952274
3/1/2012,137.309998,137.990005,136.929993,137.729996,145023500,128.343649
2/29/2012,137.759995,138.190002,136.539993,137.020004,185934700,127.682044
2/28/2012,137.199997,137.720001,136.929993,137.559998,129355900,128.185237
